n,msb,noise
1,108,251675838785105652702179410555180
2,109,498941852370741142470332325726094
3,110,742767445378799294860043549247320
4,110,983694383845818252504942682663889
5,110,1230661133550573723140315223095972
6,111,1469472560148586255830915955338361
7,111,1714803561675299673162248314928053
8,111,1963042700011142098365423020369615
9,111,2204101257305119818448992228723918
10,111,2451215844878992783339065479343961
11,112,2691390692518400763961770931427494
12,112,2933471737751448506176290492131584
13,112,3177804197299817529259473427546860
14,112,3424242450224714323125449050361780
15,112,3667365940374665762274574483032539
16,112,3908042443952245562330845787738560
17,112,4149658449535019593221455748778088
18,112,4393703948497761832726492974789880
19,112,4638754771505006241962211797420041
20,112,4876831884445074009093031520389745
21,112,5119127741652620722799283022667920
22,113,5357481048058175496363027252580602
23,113,5605760760461027565637997084964772
24,113,5849146686775596603844647198822063
25,113,6092546215833434873812371840404567
26,113,6336559737903404332514826918764240
27,113,6581189691499950620515381433865521
28,113,6825587948010541150205327290577411
29,113,7071213056841663499296287595026905
30,113,7314092694731546848319450823006951
31,113,7554083381494206385124404442825029
32,113,7794399531145514708621173015716557
33,113,8040172309053647268359273064233058
34,113,8285699270615911849573323008365535
35,113,8540507401326724604546078245771185
36,113,8779796307629460396313382096005133
37,113,9016209392897781849782061211103398
38,113,9256586364015870773519868093178967
39,113,9498120831029472437957594485269641
40,113,9740125165204313444022868482993558
41,113,9982405377076710909175727964343909
42,113,10227338134456196253507317982622431
43,114,10473228022371191295703759282658915
44,114,10717568932911028810098701369989092
45,114,10960070962313745873604546597484891
46,114,11204772581305474854722605813172098
47,114,11448309951976753843971485659478783
48,114,11687606180585158142626138813202039
49,114,11931304606769073186918387574585010
50,114,12169359254771668078398101523781965
51,114,12411937023711049390454362862903422
52,114,12657894711288377755654404975661532
53,114,12905626632311382497016296442674481
54,114,13142745634527653024848821128201264
55,114,13380474005536853678673075194164691
56,114,13621254797614009110353336681605336
57,114,13869088917378304462078424572349378
58,114,14111282722937380755927229631209059
59,114,14359538652037006073326436920304030
60,114,14602821633219369214990986866603843
61,114,14849739690927093703805929597318553
62,114,15091789207694975583668177857032358
63,114,15339185958707612036814088299653683
64,114,15580117147578506361488998350557221
65,114,15821032069351108053328878399235830
66,114,16063692846043605442728549831067247
67,114,16307282918781214743387698889788513
68,114,16546436824651393294528498011567240
69,114,16784011548737920682716812703068472
70,114,17027534171254567828543317483929926
71,114,17269478041029101043056777303066341
72,114,17509562381769765498801468959594052
73,114,17753524833965779972278273202679066
74,114,17992918011563591091472552839529588
75,114,18233518994746107574492487663035796
76,114,18482659472807301758987843379212967
77,114,18725819021688726361625509970073689
78,114,18967649858502564737416467731527458
79,114,19203459874220095620057816526910639
80,114,19446449611838147929271154641136656
81,114,19688445709100726436076185554528357
82,114,19930045949015978423725283350820647
83,114,20169348091250803054752443910306744
84,114,20415541982125328876864303857348349
85,114,20654380690458025526697804968728257
86,115,20895291990362034993734007249144990
87,115,21139462471235155006008053249369633
88,115,21382640434575999957987791803135645
89,115,21623417620983525656908886051481362
90,115,21869271043435729446526319560534767
91,115,22112260072397449926132426580194089
92,115,22356950735729921725712870239915348
93,115,22603549078745187812050093533042077
94,115,22850135321903669943301349183523789
95,115,23094106508630276804914123636802452
96,115,23337944880023920822849047221600866
97,115,23580196234672147131515573381066024
98,115,23819366482053723405240821704105658
99,115,24061310961202897110347098230537032
100,115,24304337137131444724544058512516541
101,115,24548013687709966804997192187472836
102,115,24791259398896516477276926773159487
103,115,25031678116244789034676837499826726
104,115,25270420410649564933622492006647489
105,115,25516843503093654051642907620841388
106,115,25760821185062070114956587859060489
107,115,26007250736821794580753295678388587
108,115,26248438491477080926080721034825987
109,115,26484435043066262992569454896368412
110,115,26722815660940101232274493271561841
111,115,26963164845708748235746346653785239
112,115,27208363823434862581163954611547270
113,115,27449889919435058958445298139532951
114,115,27692248726820142277409257212271323
115,115,27935328286329593371641246625131907
