n,msb,noise
1,169,405550377645130162936841890175337714097297928613404
2,170,810542742342865580454336783881405656202553398786550
3,170,1217228385497548651950244576688833238658136995842752
4,171,1621626764579421890235341340142015893930727864515247
5,171,2029525244662452807945277272056956260808602016108720
6,171,2434872608131052695713678096761710752602032482961508
7,171,2840571179710902476152145835242624878795914336370752
8,172,3246223484085666021924028641280093078090037147416099
9,172,3652926011169510704822116521686321040390197805077436
10,172,4058573330075614288941052800295500003240273825315349
11,172,4464082427192059093728433225581294503230166350862283
12,172,4869239629914635132585113631103085785428952104171228
13,172,5274720618100202822168691747328299651511873370546331
14,172,5679495796082352738503242170617550534959460939965273
15,173,6086810519127035645967021944834317254446929953653735
16,173,6493701428015139941362097574365550868030370725088692
17,173,6900086026753084214152212200211523833226146145645736
18,173,7305987931592144832445618898686042775633125789041585
19,173,7712334940783441038255629535370696656598391508805814
20,173,8118724244768983514521311771236187154547214154463189
21,173,8524559222587889675153595246722188387709970843790483
22,173,8929941311453030275449374597576704552510088004881361
23,173,9336535826055790770612442179276807595268605565759166
24,173,9741247147182546834075489426120062293267665500682277
25,173,10146008629165848864078266612486917291656332600731524
26,173,10552157149454792055796720138482660482062284965973632
27,173,10957229786822294639097164010953232785814397179883547
28,173,11363453932948947172367348910319028780905365900628372
29,173,11770389617973523878795170498162431387115324810027631
30,174,12174860789889922960744979734303983260284445385806002
31,174,12581491708988988656018121655728647674041148876676931
32,174,12987676394248592761160202275408655899346944022351924
33,174,13395748745631040702075387521936786246784051772773457
34,174,13802521456775690429766907804787335797171388441890312
35,174,14207384959026953070248049850637527998420138082085611
36,174,14613378864317527085143408009819184693222325322142650
37,174,15017157879533192047746080774808429371486209361244283
38,174,15424655622285083590009021390589905553400983427982317
39,174,15829358809228101700926121755403928889605094350513722
40,174,16235416961376019272259160653093680194132085220616245
41,174,16642498094470157020079216460385140818719474501182092
42,174,17046818624705342697032486295808991703062834012130784
43,174,17451878812769205049025966317714056641733264462852061
44,174,17857624297688259926802336141314985337352589700473718
45,174,18265022450300184602071117611003463549693458971393256
46,174,18672149504875315238625807527145216599962427661966086
47,174,19078589335237484206883128730000053547246209081294975
48,174,19483591422410544754232985743952225357750881234356497
49,174,19888686123967201163122654846964530066600824904062932
50,174,20294274233339854868104569136480859273752024092824948
51,174,20700407427278784209141798399432229118382680379721316
52,174,21107642247683745298955050298107552285250615262228486
53,174,21513040003030687642445343475072302813849439670256178
54,174,21918517577870080728501381017902972598355428658510460
55,174,22326007815329918532292591796566302144345743398848081
56,174,22730925723347919265201826593424700260884178732051549
57,174,23136056113629987556024525832147657630502451802233090
58,174,23542851157233108236207800407102788330133197831472380
59,175,23949271410281011754171583794347428045196881319199001
60,175,24355064156158843537532854792946837874258518187340540
61,175,24759805027056586403078321790917626090042309559594360
62,175,25165508788759186476753140930333261158382560450684280
63,175,25572560743583425598995335881275481796334218363606768
64,175,25977315342128290796535320643976420310440290614936169
65,175,26382915786154293293097866721738592333298528774172823
66,175,26789852836069678034577639232633285947360071758648269
67,175,27195033747869660854137085442961495762622139003720676
68,175,27602264152281680495021110581054306015542861787540935
69,175,28008194195750590956678139618518022505513364981063066
70,175,28414249447008090986382543710063820465520522961065013
71,175,28821040576101601609695121286243711204928220437299206
72,175,29228022277210131481863760424398893383830993417215342
73,175,29633633143779373286217138747959227845354608668877586
74,175,30039140316745775983280940789060251700906368185839032
75,175,30445102213533645929944177254954210588677685578878870
76,175,30850444368077548310182560103981011716228920894749643
77,175,31257197400864872100770741595178493094774452128264690
78,175,31662201997163830600827881776975942682359816908861535
79,175,32066887850555072811861453119550652850361427640320440
80,175,32473686704759140464404630245235391921292571807538826
81,175,32878374243209910056398178839925518581067060637157354
82,175,33283281643192475049939793417325367711727315522102171
83,175,33687671421881977793053383749543943087149815608531211
84,175,34095240261019061544272009612140324473741845681225233
85,175,34500846872954125363615402316916123733171731698976971
86,175,34907022893340756320381336283101129753689731046852171
87,175,35311825692196099433348219301627112230927148247757060
88,175,35715856295201760250962086719731122756642901745817401
89,175,36121763036691104494962526328181942093694870603498769
90,175,36528181659983419880008975565650856959299210955111008
91,175,36932527011950748584239763729415013050432999874738851
92,175,37339472438784396321394235357251480483391124621825090
93,175,37744844792452049487241616799391479213971552378496036
94,175,38152118299714156684618270107374995283817520458755941
95,175,38556962924888748318425346670233651900822451894670083
96,175,38962814521020901002092823655580412546092493116923076
97,175,39366721380386422494222777010680678284550122015653888
98,175,39770840698100057366965201067659290378171899076928062
99,175,40176888843716100549707851093422050491157358521810877
100,175,40581688910160662539110250973600455210809081102189608
101,175,40987650525674884313096167083604409493728008772578364
102,175,41393060937696445903564000841688307911236674140575240
103,175,41799285609229490723178064477185634781588778694488353
104,175,42205338429849121825661689949051501608889999141319101
