n,msb,noise
0,196,91082332852169932600150923154841437648653464708537650311266
1,237,216765900315738709248672237319863010624540887148459103294082234569418876
2,238,350843339771517512045387296020914668346013225746545198512227254938828810
3,238,346112630753046768816252849174252199577508086268649774272048660239640619
4,239,798923150015497725215629117029260391835342003511774670450344462051498922
5,239,499829891622428975543680266331196204367120176348329326389458273632395227
6,239,791992156093938210142726010442111941872775993321820306734311401157611340
7,239,690593851299930266893314978764149957556114443080547285662471109802969349
8,238,223713704073245305003131602061858355328316097515171105242512885883530103
9,238,432230505751633088639335651975682384996786801173344617403813596031898477
10,238,369046746425273211021309121204345696873922245320896333918307128939830053
11,239,707682945272837931229677560738250005277999728009478321356716930344420987
12,240,1059853210288544610775354195548221962308526752497928152950114849692645707
13,239,641543545338221977069787223960673372920108961838929476580609893884968165
14,240,915112618373011263939965849658058102572914369258569527412523603977719698
15,239,711355697837249763180319913551413314301642222521876544319550933064208537
16,239,670893090581125138777603790879036213790287268290095378076623155522597492
17,239,876076644898819093469161101270198332267611370074567121945946711320983026
18,240,1047119527192818125213157188626339487629226857017223436941765961821725950
19,239,654833368070992382678757452210075650569411095306637245635674086574522906
20,240,1250384066584369816647866084419686215310538157001983764729596091668362310
21,241,3114591304111662705736903007865782021017264442056270588823642788343659158
22,240,1292617584344781651943051916569149138474412219845060782712265588217130850
23,240,1023347046562613117433498020344347018074957698430030709720443376732943224
24,241,2331467045783976031476078607035607146257449332255872215575240585992240804
25,240,1262516777627178867276298281329509751537322548027772962371898486282088600
26,241,2308301355163760545751050453427966316947962602189633045085390336614217017
27,240,1284299958570681536370635312535300906127520100646479032274461741201489261
28,240,1562650600442825798100566941024362599180835303562764290950801013982357740
29,241,1956765274472973196586226984090929228889739821283514648900299722389553987
30,239,511739258076427440574260890550494857894316260452641827942101429315737927
31,241,1947632269390196544101893554965727152361228344176808603476134247132527992
